iter	RMSE
0	14.68324406
1	14.31601274
2	13.9734636
3	13.62423534
4	13.29074611
5	13.00137925
6	12.71289961
7	12.43915097
8	12.15958865
9	11.86561465
10	11.59400385
11	11.35428676
12	11.10823502
13	10.88675144
14	10.6472462
15	10.41314395
16	10.20481862
17	10.00333816
18	9.798037361
19	9.612146776
20	9.4581795
21	9.289696502
22	9.115809917
23	8.956960621
24	8.805831008
25	8.669969657
26	8.531239737
27	8.405187564
28	8.285012436
29	8.164052854
30	8.059781537
31	7.951470174
32	7.839732548
33	7.736562171
34	7.62688621
35	7.531852951
36	7.430809398
37	7.362122166
38	7.280657696
39	7.200991468
40	7.128608833
41	7.054918076
42	6.97730652
43	6.911876283
44	6.846263365
45	6.778952289
46	6.712641238
47	6.652459786
48	6.594272637
49	6.535842088
50	6.483872084
51	6.426319769
52	6.380645366
53	6.333914442
54	6.291038409
55	6.245812916
56	6.203545995
57	6.165397272
58	6.126977921
59	6.092954783
60	6.059891593
61	6.020274731
62	5.98441974
63	5.955575029
64	5.922584526
65	5.894656021
66	5.866046043
67	5.838526146
68	5.817505842
69	5.79586236
70	5.78175002
71	5.755894123
72	5.736880278
73	5.713456354
74	5.694959677
75	5.677221787
76	5.658963784
77	5.64341948
78	5.625839862
79	5.609234446
80	5.59404757
81	5.574793739
82	5.553886443
83	5.538312138
84	5.522841388
85	5.506529626
86	5.489483023
87	5.476973113
88	5.463170882
89	5.449543353
90	5.435149392
91	5.424798967
92	5.411838648
93	5.403037864
94	5.393527547
95	5.378175196
96	5.367540387
97	5.358105862
98	5.348728804
99	5.337323009
100	5.330588561
101	5.320154623
102	5.310450613
103	5.302982115
104	5.295894283
105	5.287939546
106	5.277525831
107	5.267377425
108	5.25800172
109	5.25266908
110	5.244391231
111	5.236356236
112	5.229594168
113	5.223833717
114	5.216578639
115	5.209031262
116	5.205171357
117	5.196416541
118	5.190715221
119	5.185962344
120	5.176355845
121	5.174429019
122	5.16729817
123	5.161019723
124	5.156278519
125	5.147392207
126	5.140135599
127	5.13157341
128	5.124682968
129	5.120319065
130	5.111436408
131	5.104126186
132	5.0970415
133	5.089775052
134	5.081809695
135	5.07789605
136	5.074449565
137	5.070814873
138	5.065971686
139	5.061680456
140	5.054801272
141	5.052363311
142	5.043133304
143	5.037824699
144	5.035033526
145	5.033647054
146	5.030773115
147	5.027516137
148	5.022704176
149	5.01750459
150	5.014301107
151	5.0115337
152	5.004598851
153	5.000776973
154	4.998660218
155	4.99347587
156	4.988678543
157	4.981758334
158	4.979440648
159	4.974419856
160	4.970992469
161	4.962213425
162	4.960075235
163	4.956808414
164	4.951840135
165	4.946098028
