iter	Passed	Remaining
0	0	403
1	0	409
2	2	902
3	3	761
4	3	672
5	4	691
6	4	674
7	5	633
8	5	594
9	5	567
10	6	557
11	6	551
12	7	535
13	7	530
14	7	518
15	8	506
16	8	497
17	8	488
18	9	480
19	9	474
20	10	468
21	10	459
22	10	451
23	10	443
24	11	437
25	11	430
26	11	424
27	12	420
28	12	415
29	12	414
30	13	411
31	13	407
32	13	403
33	14	399
34	14	395
35	14	392
36	14	389
37	15	386
38	15	385
39	15	382
40	16	379
41	16	376
42	16	378
43	17	377
44	17	375
45	17	373
46	18	370
47	18	368
48	18	367
49	19	365
50	19	363
51	19	362
52	20	362
53	20	360
54	20	358
55	21	357
56	21	356
57	21	355
58	22	353
59	22	352
60	22	350
61	23	348
62	23	347
63	23	348
64	24	346
65	24	345
66	24	343
67	24	342
68	25	341
69	25	340
70	25	337
71	26	339
72	26	339
73	27	338
74	27	337
75	27	337
76	28	337
77	28	337
78	28	336
79	29	335
80	29	334
81	29	334
82	30	335
83	30	337
84	31	336
85	31	335
86	31	335
87	32	334
88	32	333
89	32	333
90	33	332
91	33	331
92	33	329
93	34	329
94	34	328
95	34	327
96	35	327
97	35	327
98	36	327
99	36	327
100	36	326
101	36	325
102	37	325
103	37	324
104	37	323
105	38	322
106	38	321
107	38	320
108	39	319
109	39	318
110	39	318
111	40	317
112	40	317
113	40	316
114	41	316
115	41	316
116	41	315
117	42	314
118	42	313
119	42	313
120	43	312
121	43	311
122	43	310
123	43	310
124	44	309
125	44	308
126	44	308
127	45	307
128	45	307
129	45	307
130	46	306
131	46	307
132	47	306
133	47	306
134	47	306
135	48	306
136	48	305
137	48	305
138	49	305
139	49	304
140	49	304
141	50	303
142	50	303
143	50	302
144	51	301
145	51	300
146	51	299
147	52	299
148	52	299
149	52	298
150	53	299
151	53	299
152	53	298
153	54	298
154	54	298
155	55	297
156	55	297
157	55	296
158	56	296
159	56	296
160	56	295
161	57	294
162	57	294
163	57	293
164	57	292
165	58	291
166	58	291
167	58	291
168	59	290
169	59	290
170	59	289
171	59	288
172	60	287
173	60	287
174	60	287
175	61	286
176	61	286
177	61	285
178	62	285
179	62	285
180	63	285
181	63	285
182	63	284
183	64	284
184	64	283
185	64	283
186	65	283
187	65	282
188	65	281
189	66	281
190	66	280
191	66	280
192	67	280
193	67	280
194	67	279
195	68	278
196	68	278
197	68	277
198	68	277
199	69	276
200	69	276
201	69	276
202	70	276
203	70	276
204	71	276
205	71	276
206	72	276
207	72	275
208	72	275
209	72	274
210	73	273
211	73	273
212	73	272
213	74	272
214	74	271
215	74	271
216	75	271
217	75	270
218	75	270
219	76	270
220	76	270
221	77	269
222	77	269
223	77	269
224	77	268
225	78	267
226	78	267
227	78	267
228	79	266
229	79	266
230	79	266
231	80	265
232	80	264
233	80	264
234	81	263
235	81	263
236	81	263
237	82	263
238	82	262
239	82	262
240	83	261
241	83	261
242	83	260
243	84	260
244	84	259
245	84	259
246	85	259
247	85	259
248	85	258
249	86	258
250	86	257
251	86	257
252	86	256
253	87	256
254	87	255
255	87	254
256	88	254
257	88	253
258	88	253
259	88	252
260	89	252
261	89	252
262	89	251
263	90	251
264	90	251
265	90	250
266	91	250
267	91	250
268	91	249
269	92	249
270	92	248
271	92	248
272	93	247
273	93	247
274	93	247
275	94	247
276	94	246
277	94	246
278	95	245
279	95	245
280	95	244
281	96	244
282	96	244
283	96	243
284	97	243
285	97	242
286	97	242
287	97	242
288	98	241
289	98	241
290	98	240
291	99	240
292	99	239
293	99	239
294	100	239
295	100	238
296	100	238
297	101	238
298	101	238
299	101	237
300	102	237
301	102	237
302	102	236
303	103	236
304	103	236
305	104	235
306	104	235
307	104	235
308	105	234
309	105	234
310	105	234
311	106	234
312	106	233
313	106	233
314	107	233
315	107	232
316	107	232
317	108	231
318	108	231
319	108	231
320	109	231
321	109	230
322	109	230
323	110	229
324	110	229
325	110	229
326	111	228
327	111	228
328	112	228
329	112	228
330	112	228
331	113	227
332	113	227
333	113	227
334	114	226
335	114	226
336	114	226
337	115	225
338	115	225
339	116	225
340	116	224
341	116	224
342	116	223
343	117	223
344	117	223
345	117	222
346	118	222
347	118	221
348	118	221
349	119	221
350	119	220
351	119	220
352	120	220
353	120	219
354	120	219
355	121	218
356	121	218
357	121	218
358	122	217
359	122	217
360	122	216
361	122	216
362	123	216
363	123	215
364	123	215
365	124	214
366	124	214
367	124	214
368	124	213
369	125	213
370	125	212
371	125	212
372	126	212
373	126	211
374	127	211
375	127	211
376	127	210
377	128	210
378	128	210
379	128	210
380	129	209
381	129	209
382	129	209
383	130	208
384	130	208
385	130	208
386	131	208
387	131	207
388	132	207
389	132	207
390	132	206
391	133	206
392	133	206
393	133	205
394	134	205
395	134	205
396	134	204
397	135	204
398	135	203
399	135	203
400	136	203
401	136	202
402	136	202
403	136	202
404	137	201
405	137	201
406	137	200
407	138	200
408	138	200
409	139	200
410	139	199
411	139	199
412	140	199
413	140	198
414	140	198
415	141	198
416	141	197
417	141	197
418	142	197
419	142	196
420	143	196
421	143	196
422	143	196
423	144	195
424	144	195
425	144	195
426	145	194
427	145	194
428	145	194
429	146	193
430	146	193
431	147	193
432	147	192
433	147	192
434	147	192
435	148	191
436	148	191
437	148	190
438	149	190
439	149	190
440	149	189
441	150	189
442	150	189
443	151	189
444	152	189
445	152	189
446	153	189
447	153	189
448	153	188
449	154	188
450	154	188
451	154	187
452	155	187
453	155	187
454	155	186
455	156	186
456	156	185
457	157	185
458	157	185
459	158	185
460	158	185
461	158	184
462	159	184
463	159	184
464	159	183
465	160	183
466	160	183
467	160	182
468	161	182
469	161	182
470	161	181
471	162	181
472	162	180
473	162	180
474	163	180
475	163	180
476	163	179
477	164	179
478	164	178
479	164	178
480	165	178
481	166	178
482	166	178
483	166	177
484	167	177
485	167	177
486	168	177
487	168	176
488	168	176
489	168	175
490	169	175
491	169	175
492	169	174
493	170	174
494	170	174
495	170	173
496	171	173
497	171	173
498	172	172
499	172	172
500	172	172
501	173	171
502	173	171
503	173	170
504	174	170
505	174	170
506	174	169
507	175	169
508	175	169
509	175	168
510	176	168
511	176	168
512	176	167
513	177	167
514	177	167
515	177	166
516	178	166
517	178	165
518	178	165
519	179	165
520	179	164
521	179	164
522	180	164
523	180	164
524	180	163
525	181	163
526	181	163
527	181	162
528	182	162
529	182	161
530	182	161
531	183	161
532	183	160
533	183	160
534	184	160
535	184	159
536	184	159
537	185	159
538	185	158
539	185	158
540	186	157
541	186	157
542	186	157
543	187	156
544	187	156
545	187	156
546	188	155
547	188	155
548	188	155
549	189	154
550	189	154
551	189	153
552	190	153
553	190	153
554	190	152
555	190	152
556	191	152
557	191	151
558	191	151
559	192	151
560	192	150
561	192	150
562	193	150
563	193	149
564	193	149
565	194	148
566	194	148
567	194	148
568	195	147
569	195	147
570	195	147
571	196	146
572	196	146
573	197	146
574	197	145
575	197	145
576	197	145
577	198	144
578	198	144
579	199	144
580	199	143
581	199	143
582	200	143
583	200	142
584	200	142
585	201	142
586	201	141
587	201	141
588	201	140
589	202	140
590	202	140
591	202	139
592	203	139
593	203	139
594	203	138
595	204	138
596	204	138
597	204	137
598	205	137
599	205	136
600	205	136
601	206	136
602	206	135
603	206	135
604	207	135
605	207	134
606	207	134
607	208	134
608	208	133
609	208	133
610	209	133
611	209	132
612	209	132
613	210	132
614	210	131
615	210	131
616	211	130
617	211	130
618	211	130
619	212	129
620	212	129
621	212	129
622	212	128
623	213	128
624	213	128
625	213	127
626	214	127
627	214	127
628	215	126
629	215	126
630	215	126
631	215	125
632	216	125
633	216	125
634	216	124
635	217	124
636	217	123
637	217	123
638	218	123
639	218	122
640	218	122
641	219	122
642	219	121
643	219	121
644	220	121
645	220	120
646	220	120
647	221	120
648	221	119
649	221	119
650	222	119
651	222	118
652	223	118
653	223	118
654	223	117
655	224	117
656	224	117
657	224	116
658	225	116
659	225	116
660	225	115
661	226	115
662	226	115
663	226	114
664	227	114
665	228	114
666	228	114
667	229	113
668	229	113
669	229	113
670	230	112
671	230	112
672	230	112
673	231	111
674	231	111
675	231	111
676	232	110
677	232	110
678	232	110
679	233	109
680	233	109
681	233	108
682	234	108
683	234	108
684	234	107
685	235	107
686	235	107
687	235	106
688	236	106
689	236	106
690	236	105
691	237	105
692	237	105
693	237	104
694	238	104
695	238	104
696	238	103
697	239	103
698	239	103
699	239	102
700	240	102
701	240	102
702	240	101
703	241	101
704	241	101
705	241	100
706	242	100
707	242	100
708	242	99
709	243	99
710	243	98
711	243	98
712	243	98
713	244	97
714	244	97
715	244	97
716	244	96
717	245	96
718	245	95
719	245	95
720	246	95
721	246	94
722	246	94
723	246	94
724	247	93
725	247	93
726	247	92
727	247	92
728	248	92
729	248	91
730	248	91
731	248	91
732	249	90
733	249	90
734	249	90
735	250	89
736	250	89
737	250	88
738	250	88
739	251	88
740	251	87
741	251	87
742	251	87
743	252	86
744	252	86
745	252	86
746	253	85
747	253	85
748	253	85
749	254	84
750	254	84
751	254	84
752	255	83
753	255	83
754	256	83
755	256	82
756	256	82
757	257	82
758	257	81
759	258	81
760	258	81
761	258	80
762	259	80
763	259	80
764	259	79
765	259	79
766	260	79
767	260	78
768	261	78
769	261	78
770	261	77
771	262	77
772	262	77
773	262	76
774	263	76
775	263	76
776	263	75
777	264	75
778	264	75
779	264	74
780	265	74
781	265	74
782	265	73
783	266	73
784	266	72
785	266	72
786	267	72
787	267	71
788	267	71
789	268	71
790	268	70
791	268	70
792	269	70
793	269	69
794	269	69
795	269	69
796	270	68
797	270	68
798	271	68
799	271	67
800	271	67
801	272	67
802	272	66
803	272	66
804	273	66
805	273	65
806	273	65
807	273	65
808	274	64
809	274	64
810	274	64
811	275	63
812	275	63
813	275	63
814	276	62
815	276	62
816	276	62
817	277	61
818	277	61
819	277	61
820	278	60
821	278	60
822	278	59
823	279	59
824	279	59
825	279	58
826	280	58
827	280	58
828	280	57
829	281	57
830	281	57
831	281	56
832	282	56
833	282	56
834	282	55
835	283	55
836	283	55
837	283	54
838	284	54
839	284	54
840	285	53
841	285	53
842	285	53
843	286	52
844	286	52
845	286	52
846	287	51
847	287	51
848	287	51
849	287	50
850	288	50
851	288	50
852	288	49
853	289	49
854	289	49
855	290	48
856	290	48
857	290	48
858	291	47
859	291	47
860	291	47
861	292	46
862	292	46
863	292	46
864	292	45
865	293	45
866	293	45
867	293	44
868	294	44
869	294	44
870	294	43
871	295	43
872	295	43
873	295	42
874	296	42
875	296	42
876	297	41
877	297	41
878	297	40
879	297	40
880	298	40
881	298	39
882	298	39
883	299	39
884	299	38
885	299	38
886	300	38
887	300	37
888	300	37
889	301	37
890	301	36
891	301	36
892	302	36
893	302	35
894	302	35
895	303	35
896	303	34
897	303	34
898	304	34
899	304	33
900	304	33
901	304	33
902	305	32
903	305	32
904	305	32
905	306	31
906	306	31
907	307	31
908	307	30
909	307	30
910	308	30
911	308	29
912	308	29
913	308	29
914	309	28
915	309	28
916	309	28
917	310	27
918	310	27
919	310	27
920	311	26
921	311	26
922	311	26
923	312	25
924	312	25
925	312	25
926	313	24
927	313	24
928	313	23
929	314	23
930	314	23
931	314	22
932	315	22
933	315	22
934	315	21
935	316	21
936	316	21
937	316	20
938	317	20
939	317	20
940	317	19
941	318	19
942	318	19
943	318	18
944	319	18
945	319	18
946	319	17
947	319	17
948	320	17
949	320	16
950	320	16
951	321	16
952	321	15
953	321	15
954	322	15
955	322	14
956	322	14
957	323	14
958	323	13
959	323	13
960	324	13
961	324	12
962	324	12
963	325	12
964	325	11
965	325	11
966	326	11
967	326	10
968	326	10
969	327	10
970	327	9
971	327	9
972	328	9
973	328	8
974	328	8
975	329	8
976	329	7
977	329	7
978	330	7
979	330	6
980	330	6
981	331	6
982	331	5
983	331	5
984	332	5
985	332	4
986	332	4
987	333	4
988	333	3
989	333	3
990	333	3
991	334	2
992	334	2
993	335	2
994	335	1
995	335	1
996	336	1
997	336	0
998	336	0
999	337	0
